,title,label
0,"20 imagens que, por incrível que pareça, não são de pirocas enormes",1
1,24 filmes da Disney explicados por homens que não entendem nada da Disney,1
2,Todo mundo é uma princesa da Disney OU um herói da Marvel – qual dos dois você é?,1
3,Quais são as três comidas que combinam com a sua personalidade?,1
4,Este teste sobre comida vai dizer de uma vez por todas se você é boa ou má pessoa,1
5,22 crimes cometidos contra os cabelos nos anos 2000,1
6,12 respostas bem femininas para as coisas mais pentelhas que dizem para as mulheres,1
7,Prepare o jantar de uma noite romântica e adivinharemos seu status de relacionamento,1
8,20 fotos que ilustram a diferença entre comida normal e comida hipster,1
9,"22 imagens que, quanto mais você olha, melhores ficam",1
10,10 detalhes bem adultos dos seus desenhos preferidos que você só entendeu agora,1
11,19 provas de que nem todo mundo entende como as frutas funcionam,1
12,Só quem vê cores perfeitamente vai conseguir enxergar todas estas bundas,1
13,18 coisas totalmente irreais que as mulheres fazem durante o sexo nos filmes,1
14,20 coisas totalmente absurdas que as pessoas já acreditaram sobre sexo,1
15,15 vezes em que os hipsters foram longe demais,1
16,Todo mundo tem um Muppet que combina com sua personalidade — aqui está o seu,1
17,Este teste dirá qual palavrão mais combina com sua personalidade,1
18,25 curiosidades que podem mudar sua visão das estrelas pop,1
19,34 coisinhas irritantes que deixam quase todas mulheres morrendo de raiva,1
20,Só pessoas 100% esquisitas já fizeram 100% dessas coisas,1
21,Este teste vai dizer qual erva ou tempero combina com sua personalidade,1
22,O Bill Gates não tem IDEIA de qual é o preço das coisas no supermercado,1
23,"16 bolos que não dá para comer: 8 porque são muito feios, 8 porque dá muita dó",1
24,26 erros óbvios de gravação que talvez você nunca tenha percebido em seus filmes favoritos,1
25,Talvez estes sejam os finais de filmes mais irritantes que existem,1
26,Este é o teste mais bizarro sobre princesas da Disney que existe,1
27,Tudo bem se você rir destas 16 pessoas,1
28,"11 coisas que as pessoas achavam normais quando estavam crescendo, mas depois descobriram que eram estranhas",1
29,Só quem não tem frescura para comer reconhece o valor destas delícias,1
30,Qual estereótipo de millennial você é?,1
31,9 tipos de sexo que quase todo mundo faz nos dois primeiros anos de namoro,1
32,Estratégias para ser levada a sério pelo médico se você for mulher,1
33,Você é bom de cama?,1
34,"26 coisas pelas quais todo mundo já passou, mesmo que não admita",1
35,17 coisas que fazemos todos os dias mas que não fariam sentido há 50 anos,1
36,19 coisas que deixam qualquer pessoa que tem uma vagina se sentindo um pouquinho culpada,1
37,11 coisas que a maioria das garotas faz mas não comenta com ninguém,1
38,8 coisas meio nojentinhas que acontecem quando você faz natação,1
39,Você tem gosto de rico?,1
40,21 situações que fazem quase todas as garotas se retorcerem de aflição,1
41,21 coisas que você jurava que só você fazia,1
42,Diga o que acha desses caras e diremos o que você realmente busca em um relacionamento,1
